R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
9,—,France,Jean-Paul Mauric,Printemps (avril Carillonne),13.0,4th,1961,final
10,—,Switzerland,Franca di Rienzo,Nous Aurons Demain,16.0,3rd,1961,final
11,—,Belgium,Bob Benny,"September, Gouden Roos",1.0,15th,1961,final
12,—,Norway,Nora Brockstedt,Sommer I Palma,10.0,7th,1961,final
13,—,Denmark,Dario Campeotto,Angelique,12.0,5th,1961,final
14,—,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,31.0,1st,1961,final
15,—,United Kingdom,The Allisons,Are You Sure?,24.0,2nd,1961,final
16,—,Italy,Betty Curtis,Al Di Là,12.0,5th,1961,final
1,—,Finland,Marion Rung,Tipi-tii,4.0,7th,1962,final
2,—,Belgium,Fud Leclerc,Ton Nom,,13th,1962,final
3,—,Spain,Victor Balaguer,Llámame,,13th,1962,final
4,—,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,,13th,1962,final
5,—,Denmark,Ellen Winther,Vuggevise,2.0,10th,1962,final
6,—,Sweden,Inger Berggren,Sol Och Vår,4.0,7th,1962,final
7,—,Germany,Conny Froboess,Zwei Kleine Italiener,9.0,6th,1962,final
8,—,Netherlands,De Spelbrekers,Katinka,,13th,1962,final
9,—,France,Isabelle Aubret,Un Premier Amour,26.0,1st,1962,final
10,—,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",2.0,10th,1962,final
11,—,Switzerland,Jean Philippe,Le Retour,2.0,10th,1962,final
12,—,Yugoslavia,Lola Novakovic,Ne Pali Svetlo U Sumrak,10.0,4th,1962,final
13,—,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,10.0,4th,1962,final
14,—,Luxembourg,Camillo Felgen,Petit Bonhomme,11.0,3rd,1962,final
15,—,Italy,Claudio Villa,"Addio, Addio",3.0,9th,1962,final
16,—,Monaco,François Deguelt,Dis Rien,13.0,2nd,1962,final
1,—,United Kingdom,Ronnie Carroll,Say Wonderful Things,28.0,4th,1963,final
2,—,Netherlands,Annie Palmen,Een Speeldoos,,13th,1963,final
3,—,Germany,Heidi Brühl,Marcel,5.0,9th,1963,final
4,—,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,16.0,7th,1963,final
5,—,Norway,Anita Thallaug,Solhverv,,13th,1963,final
6,—,Italy,Emilio Pericoli,Uno Per Tutte,37.0,3rd,1963,final
7,—,Finland,Laila Halme,Muistojeni Laulu,,13th,1963,final
8,—,Denmark,Grethe and Jørgen Ingmann,Dansevise,42.0,1st,1963,final
9,—,Yugoslavia,Vice Vukov,Brodovi,3.0,11th,1963,final
10,—,Switzerland,Esther Ofarim,T'en Va Pas,40.0,2nd,1963,final
11,—,France,Alain Barrière,Elle était Si Jolie,25.0,5th,1963,final
12,—,Spain,José Guardiola,Algo Prodigioso,2.0,12th,1963,final
13,—,Sweden,Monica Zetterlund,En Gång I Stockholm,,13th,1963,final
14,—,Belgium,Jacques Raymond,Waarom,4.0,10th,1963,final
15,—,Monaco,Françoise Hardy,L'amour S'en Va,25.0,5th,1963,final
16,—,Luxembourg,Nana Mouskouri,A Force De Prier,13.0,8th,1963,final
1,—,Luxembourg,Hugues Aufray,Dès Que Le Printemps Revient,14.0,4th,1964,final
2,—,Netherlands,Anneke Grönloh,Jij Bent Mijn Leven,2.0,10th,1964,final
3,—,Norway,Arne Bendiksen,Spiral,6.0,8th,1964,final
4,—,Denmark,Bjørn Tidmand,Sangen Om Dig,4.0,9th,1964,final
5,—,Finland,Lasse Mårtenson,Laiskotellen,9.0,7th,1964,final
6,—,Austria,Udo Jürgens,"Warum Nur, Warum?",11.0,6th,1964,final
7,—,France,Rachel,Le Chant De Mallory,14.0,4th,1964,final
8,—,United Kingdom,Matt Monro,I Love The Little Things,17.0,2nd,1964,final
9,—,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,,13th,1964,final
10,—,Monaco,Romuald,Où Sont-elles Passées?,15.0,3rd,1964,final
11,—,Portugal,António Calvário,Oração,,13th,1964,final
12,—,Italy,Gigliola Cinquetti,Non Ho L'étà,49.0,1st,1964,final
13,—,Yugoslavia,Sabahudin Kurt,Zivot Je Sklopio Krug,,13th,1964,final
14,—,Switzerland,Anita Traversi,I Miei Pensieri,,13th,1964,final
15,—,Belgium,Robert Cogoi,Près De Ma Rivière,2.0,10th,1964,final
16,—,Spain,"Tim, Nelly and Tony",Caracola,1.0,12th,1964,final
1,—,Netherlands,Conny Van den bos,Het Is Genoeg,5.0,11th,1965,final
2,—,United Kingdom,Kathy Kirby,I Belong,26.0,2nd,1965,final
3,—,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno",,15th,1965,final
4,—,Ireland,Butch Moore,I'm Walking The Streets In The Rain,11.0,6th,1965,final
5,—,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?",,15th,1965,final
6,—,Austria,Udo Jürgens,"Sag Ihr, Ich Lass' Sie Grüßen",16.0,4th,1965,final
7,—,Norway,Kirsti Sparboe,Karusell,1.0,13th,1965,final
8,—,Belgium,Lize Marke,Als Het Weer Lente Is,,15th,1965,final
9,—,Monaco,Marjorie Noël,Va Dire à L'amour,7.0,9th,1965,final
10,—,Sweden,Ingvar Wixell,Absent Friend,6.0,10th,1965,final
11,—,France,Guy Mardel,N'avoue Jamais,22.0,3rd,1965,final
12,—,Portugal,Simone de Oliviera,Sol De Inverno,1.0,13th,1965,final
13,—,Italy,Bobby Solo,"Se Piangi, Se Ridi",15.0,5th,1965,final
14,—,Denmark,Birgit Brüel,For Din Skyld,10.0,7th,1965,final
15,—,Luxembourg,France Gall,"Poupée De Cire, Poupée De Son",32.0,1st,1965,final
16,—,Finland,Viktor Klimenko,Aurinko Laskee Länteen,,15th,1965,final
17,—,Yugoslavia,Vice Vukov,Ceznja,2.0,12th,1965,final
18,—,Switzerland,Yovanna,Non à Jamais Sans Toi,8.0,8th,1965,final
1,—,Germany,Margot Eskens,Die Zeiger Der Uhr,7.0,10th,1966,final
2,—,Denmark,Ulla Pia,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",4.0,14th,1966,final
3,—,Belgium,Tonia,"Un Peu De Poivre, Un Peu De Sel",14.0,4th,1966,final
4,—,Luxembourg,Michèle Torr,Ce Soir Je T'attendais,7.0,10th,1966,final
5,—,Yugoslavia,Berta Ambroz,Brez Besed,9.0,7th,1966,final
6,—,Norway,Åse Kleveland,Intet Er Nytt Under Solen,15.0,3rd,1966,final
7,—,Finland,Ann-Christine Nyström,Play-boy,7.0,10th,1966,final
8,—,Portugal,Madalena Iglesias,Ele E Ela,6.0,13th,1966,final
9,—,Austria,Udo Jürgens,Merci Chérie,31.0,1st,1966,final
10,—,Sweden,Lill Lindfors and Svante Thuresson,Nygammal Vals Eller Hip Man Svinaherde,16.0,2nd,1966,final
11,—,Spain,Raphael,Yo Soy Aquél,9.0,7th,1966,final
12,—,Switzerland,Madeleine Pascal,Ne Vois-tu Pas?,12.0,6th,1966,final
13,—,Monaco,Tereza,Bien Plus Fort,,17th,1966,final
14,—,Italy,Domenico Modugno,Dio Come Ti Amo,,17th,1966,final
15,—,France,Dominique Walter,Chez Nous,1.0,16th,1966,final
16,—,Netherlands,Milly Scott,Fernando En Philippo,2.0,15th,1966,final
17,—,Ireland,Dickie Rock,Come Back To Stay,14.0,4th,1966,final
18,—,United Kingdom,Kenneth McKellar,A Man Without Love,8.0,9th,1966,final
1,—,Netherlands,Thérèse Steinmetz,Ring-dinge,2.0,14th,1967,final
2,—,Luxembourg,Vicky,L'amour Est Bleu,17.0,4th,1967,final
3,—,Austria,Peter Horten,Warum Es Hunderttausend Sterne Gibt,2.0,14th,1967,final
4,—,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,20.0,3rd,1967,final
5,—,Portugal,Eduardo Nascimento,O Vento Mudou,3.0,12th,1967,final
6,—,Switzerland,Géraldine,Quel Coeur Vas-tu Briser?,,17th,1967,final
7,—,Sweden,Östen Warnebring,Som En Dröm,7.0,8th,1967,final
8,—,Finland,Fredi,Varjoon-suojaan,3.0,12th,1967,final
9,—,Germany,Inge Brück,Anouschka,7.0,8th,1967,final
10,—,Belgium,Louis Neefs,Ik Heb Zorgen,8.0,7th,1967,final
11,—,United Kingdom,Sandie Shaw,Puppet On A String,47.0,1st,1967,final
12,—,Spain,Raphael,Hablemos Del Amor,9.0,6th,1967,final
13,—,Norway,Kirsti Sparboe,Dukkemann,2.0,14th,1967,final
14,—,Monaco,Minouche Barelli,Boum-badaboum,10.0,5th,1967,final
15,—,Yugoslavia,Lado Leskovar,Vse Roze Sveta,7.0,8th,1967,final
16,—,Italy,Claudio Villa,Non Andare Più Lontano,4.0,11th,1967,final
17,—,Ireland,Sean Dunphy,If I Could Choose,22.0,2nd,1967,final
1,—,Portugal,Carlos Mendes,Verão,5.0,11th,1968,final
2,—,Netherlands,Ronnie Tober,Morgen,1.0,16th,1968,final
3,—,Belgium,Claude Lombard,Quand Tu Reviendras,8.0,7th,1968,final
4,—,Austria,Karel Gott,Tausend Fenster,2.0,13th,1968,final
5,—,Luxembourg,Chris Baldo and Sophie Garel,Nous Vivrons D'amour,5.0,11th,1968,final
6,—,Switzerland,Gianni Mascolo,Guardando Il Sole,2.0,13th,1968,final
7,—,Monaco,Line and Willy,A Chacun Sa Chanson,8.0,7th,1968,final
8,—,Sweden,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej",15.0,5th,1968,final
9,—,Finland,Kristina Hautala,Kun Kello Käy,1.0,16th,1968,final
10,—,France,Isabelle Aubret,La Source,20.0,3rd,1968,final
11,—,Italy,Sergio Endrigo,Marianne,7.0,10th,1968,final
12,—,United Kingdom,Cliff Richard,Congratulations,28.0,2nd,1968,final
