R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
14,—,Spain,Micky,Enseñame A Cantar,52.0,9th,1977,final
15,—,Italy,Mia Martini,Liberà,33.0,13th,1977,final
16,—,Finland,Monica Aspelund,Lapponia,50.0,10th,1977,final
17,—,Belgium,Dream Express,"A Million In One, Two, Three",69.0,7th,1977,final
18,—,France,Marie Myriam,L'oiseau Et L'enfant,136.0,1st,1977,final
1,—,Ireland,Colm T. Wilkinson,Born To Sing,86.0,5th,1978,final
2,—,Norway,Jahn Teigen,Mil Etter Mil,,20th,1978,final
3,—,Italy,Ricchi e Poveri,Questo Amore,53.0,12th,1978,final
4,—,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,2.0,18th,1978,final
5,—,Portugal,Gemini,Dai-li-dou,5.0,17th,1978,final
6,—,France,Joël Prévost,Il Y Aura Toujours Des Violons,119.0,3rd,1978,final
7,—,Spain,José Vélez,Bailemos Un Vals,65.0,9th,1978,final
8,—,United Kingdom,Co-Co,The Bad Old Days,61.0,11th,1978,final
9,—,Switzerland,Carole Vinci,Vivre,65.0,9th,1978,final
10,—,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,125.0,2nd,1978,final
11,—,Netherlands,Harmony,'t Is Ok,37.0,13th,1978,final
12,—,Türkiye,Nazar,Sevinçe,2.0,18th,1978,final
13,—,Germany,Ireen Sheer,Feuer,84.0,6th,1978,final
14,—,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,107.0,4th,1978,final
15,—,Greece,Tania Tsanaklidou,Charlie Chaplin,66.0,8th,1978,final
16,—,Denmark,Mabel,Boom Boom,13.0,16th,1978,final
17,—,Luxembourg,Baccara,Parlez-vous Français?,73.0,7th,1978,final
18,—,Israel,Izhar Cohen and the Alphabeta,Abanibi,157.0,1st,1978,final
19,—,Austria,Springtime,Mrs. Caroline Robinson,14.0,15th,1978,final
20,—,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,26.0,14th,1978,final
1,—,Portugal,Manuela Bravo,"Sobe, Sobe, Balão Sobe",64.0,9th,1979,final
2,—,Italy,Matia Bazar,Raggio Di Luna,27.0,15th,1979,final
3,—,Denmark,Tommy Seebach,Disco Tango,76.0,6th,1979,final
4,—,Ireland,Cathal Dunne,Happy Man,80.0,5th,1979,final
5,—,Finland,Katri-Helena,Katso Sineen Taivaan,38.0,14th,1979,final
6,—,Monaco,Laurent Vaguener,"Notre Vie, C'est La Musique",12.0,16th,1979,final
7,—,Greece,Elpida,Socrates,69.0,8th,1979,final
8,—,Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.,60.0,10th,1979,final
9,—,Germany,Dschinghis Khan,Dschinghis Khan,86.0,4th,1979,final
10,—,Israel,Milk and Honey,Hallelujah,125.0,1st,1979,final
11,—,France,Anne-Marie David,Je Suis L'enfant-soleil,106.0,3rd,1979,final
12,—,Belgium,Micha Marah,Hey Nana,5.0,18th,1979,final
13,—,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,44.0,13th,1979,final
14,—,Netherlands,Xandra,Colorado,51.0,12th,1979,final
15,—,Sweden,Ted Gärdestad,Satellit,8.0,17th,1979,final
16,—,Norway,Anita Skorgan,Oliver,57.0,11th,1979,final
17,—,United Kingdom,Black Lace,Mary Ann,73.0,7th,1979,final
18,—,Austria,Christina Simon,Heute In Jerusalem,5.0,18th,1979,final
19,—,Spain,Betty Missiego,Su Canción,116.0,2nd,1979,final
1,—,Austria,Blue Danube,Du Bist Musik,64.0,8th,1980,final
2,—,Türkiye,Ajda Pekkan,Petr'oil,23.0,15th,1980,final
3,—,Greece,Anna Vishy and the Epikouri,Autostop,30.0,13th,1980,final
4,—,Luxembourg,Sophie and Magaly,Papa Pingouin,56.0,9th,1980,final
5,—,Morocco,Samira Bensaïd,Bitakat Hob,7.0,18th,1980,final
6,—,Italy,Alan Sorrenti,Non So Che Darei,87.0,6th,1980,final
7,—,Denmark,Bamses Venner,Tænker Altid På Dig,25.0,14th,1980,final
8,—,Sweden,Tomas Ledin,Just Nu!,47.0,10th,1980,final
9,—,Switzerland,Paola,Cinéma,104.0,4th,1980,final
10,—,Finland,Vesa-Matti Loiri,Huilumies,6.0,19th,1980,final
11,—,Norway,Sverre Kjellsberg and Mattis Hætta,Sámiid Ædnan,15.0,16th,1980,final
12,—,Germany,Katja Ebstein,Theater,128.0,2nd,1980,final
13,—,United Kingdom,Prima Donna,Love Enough For Two,106.0,3rd,1980,final
14,—,Portugal,José Cid,"Um Grande, Grande Amor",71.0,7th,1980,final
15,—,Netherlands,Maggie MacNeal,Amsterdam,93.0,5th,1980,final
16,—,France,Profil,"Hé, Hé M'sieurs Dames",45.0,11th,1980,final
17,—,Ireland,Johnny Logan,What's Another Year,143.0,1st,1980,final
18,—,Spain,Trigo Limpio,Qué Date Esta Noche,38.0,12th,1980,final
19,—,Belgium,Telex,Euro-vision,14.0,17th,1980,final
1,—,Austria,Marty Brem,Wenn Du Da Bist,20.0,17th,1981,final
2,—,Türkiye,Modern Folk Trio and Aysegül,Dönme Dolap,9.0,18th,1981,final
3,—,Germany,Lena Valaitis,Johnny Blue,132.0,2nd,1981,final
4,—,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'amérique,41.0,11th,1981,final
5,—,Israel,Habibi,Halaylah,56.0,7th,1981,final
6,—,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,41.0,11th,1981,final
7,—,Yugoslavia,Seid-Memic Vajta,Leila,35.0,15th,1981,final
8,—,Finland,Riki Sorsa,Reggae O.k.,27.0,16th,1981,final
9,—,France,Jean Gabilou,Humanahum,125.0,3rd,1981,final
10,—,Spain,Bacchelli,Y Solo Tú,38.0,14th,1981,final
11,—,Netherlands,Linda Williams,Het Is Een Wonder,51.0,9th,1981,final
12,—,Ireland,Sheeba,Horoscopes,105.0,5th,1981,final
13,—,Norway,Finn Kalvik,Aldri I Livet,,20th,1981,final
14,—,United Kingdom,Bucks Fizz,Making Your Mind Up,136.0,1st,1981,final
15,—,Portugal,Carlos Paião,Play-back,9.0,18th,1981,final
16,—,Belgium,Emly Starr,Samson,40.0,13th,1981,final
17,—,Greece,Yiannis Dimitras,Feggari Kalokerino,55.0,8th,1981,final
18,—,Cyprus,Island,Monika,69.0,6th,1981,final
19,—,Switzerland,"Peter, Sue and Marc",Io Senza Tei,121.0,4th,1981,final
20,—,Sweden,Björn Skifs,Fångad I En Dröm,50.0,10th,1981,final
1,—,Portugal,Doce,Bem-bom,32.0,13th,1982,final
2,—,Luxembourg,Svetlana,Cour Apres Le Temps,78.0,6th,1982,final
3,—,Norway,Jahn Teigen and Anita Skorgan,Adieu,40.0,12th,1982,final
4,—,United Kingdom,Bardo,One Step Further,76.0,7th,1982,final
5,—,Türkiye,Neço,Hani,20.0,15th,1982,final
6,—,Finland,Kojo,Nuku Pommiin,,18th,1982,final
7,—,Switzerland,Arlette Zola,Amour On T'aime,97.0,3rd,1982,final
8,—,Cyprus,Anna Vishy,Mono I Agapi,85.0,5th,1982,final
9,—,Sweden,Chips,Dag Efter Dag,67.0,8th,1982,final
10,—,Austria,Mess,Sonntag,57.0,9th,1982,final
11,—,Belgium,Stella,Si Tu Aimes Ma Musique,96.0,4th,1982,final
12,—,Spain,Lucía,Él,52.0,10th,1982,final
13,—,Denmark,Brixx,Video-video,5.0,17th,1982,final
14,—,Yugoslavia,Aska,Halo Halo,21.0,14th,1982,final
15,—,Israel,Avi Toledano,Hora,100.0,2nd,1982,final
16,—,Netherlands,Bill van Dijk,Jij En Ik,8.0,16th,1982,final
17,—,Ireland,The Duskeys,"Here Today, Gone Tomorrow",49.0,11th,1982,final
18,—,Germany,Nicole,Ein Bißchen Frieden,161.0,1st,1982,final
1,—,France,Guy Bonnet,Vivre,56.0,8th,1983,final
2,—,Norway,Jahn Teigen,Do Re Mi,53.0,9th,1983,final
3,—,United Kingdom,Sweet Dreams,I'm Never Giving Up,79.0,6th,1983,final
4,—,Sweden,Carola Häggkvist,Främling,126.0,3rd,1983,final
5,—,Italy,Riccardo Fogli,Per Lucia,41.0,11th,1983,final
6,—,Türkiye,Çetin Alp and the Short Wave,Opera,,19th,1983,final
7,—,Spain,Remedios Amaya,¿quién Maneja Mi Barca?,,19th,1983,final
8,—,Switzerland,Mariella Farré,Io Così Non Ci Sto,28.0,15th,1983,final
9,—,Finland,Ami Aspelund,Fantasiaa,41.0,11th,1983,final
10,—,Greece,Christie Stassinopoulou,Mou Les,32.0,14th,1983,final
11,—,Netherlands,Bernadette,Sing Me A Song,66.0,7th,1983,final
12,—,Yugoslavia,Danijel,Dzuli,125.0,4th,1983,final
13,—,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,26.0,16th,1983,final
14,—,Germany,Hoffmann und Hoffmann,Rücksicht,94.0,5th,1983,final
15,—,Denmark,Gry Johansen,Kloden Drejer,16.0,17th,1983,final
16,—,Israel,Ofra Haza,Hi,136.0,2nd,1983,final
17,—,Portugal,Armando Gama,Esta Balada Que Te Dou,33.0,13th,1983,final
18,—,Austria,Westend,Hurricane,53.0,9th,1983,final
19,—,Belgium,Pas de Deux,Rendez-vous,13.0,18th,1983,final
20,—,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,142.0,1st,1983,final
1,—,Sweden,Herrey's,Diggi-loo Diggy-ley,145.0,1st,1984,final
2,—,Luxembourg,Sophie Carle,100% D'amour,39.0,10th,1984,final
3,—,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,61.0,8th,1984,final
4,—,Spain,Bravo,"Lady, Lady",106.0,3rd,1984,final
5,—,Norway,Dollie de Luxe,Lenge Leve Livet,29.0,17th,1984,final
6,—,United Kingdom,Belle and the Devotions,Love Games,63.0,7th,1984,final
7,—,Cyprus,Andy Paul,Anna Mari-elena,31.0,15th,1984,final
8,—,Belgium,Jacques Zegers,Avanti La Vie,70.0,5th,1984,final
9,—,Ireland,Linda Martin,Terminal '3',137.0,2nd,1984,final
10,—,Denmark,Hot Eyes,Det' Lige Det,101.0,4th,1984,final
11,—,Netherlands,Maribelle,Ik Hou Van Jou,34.0,13th,1984,final
12,—,Yugoslavia,Vlado and Isolda,Ciao Amore,26.0,18th,1984,final
13,—,Austria,Anita,Einfach Weg,5.0,19th,1984,final
14,—,Germany,Mary Roos,Aufrecht Geh'n,34.0,13th,1984,final
15,—,Türkiye,"Bes Yil Önce, On Yil Sonra",Halay,37.0,12th,1984,final
16,—,Finland,Kirka,Hengaillaan,46.0,9th,1984,final
17,—,Switzerland,Rainy Day,Welche Farbe Hat Der Sonnenschein,30.0,16th,1984,final
18,—,Italy,Alice and Battiato,I Treni Di Tozeur,70.0,5th,1984,final
19,—,Portugal,Maria Guinot,Silêncio E Tanta Gente,38.0,11th,1984,final
1,—,Ireland,Maria Christian,Wait Until The Weekend Comes,91.0,6th,1985,final
2,—,Finland,Sonja Lumme,Eläköön Elämä,58.0,9th,1985,final
3,—,Cyprus,Lia Vishy,To Katalava Arga,15.0,16th,1985,final
4,—,Denmark,Hot Eyes,Sku' Du Spør Fra No'n,41.0,11th,1985,final
5,—,Spain,Paloma San Basilio,La Fiesta Terminó,36.0,14th,1985,final
6,—,France,Roger Bens,Femme Dans Ses Rêves Aussi,56.0,10th,1985,final
7,—,Türkiye,MFÖ,Di Dai Di Dai Dai (a'sik Oldum),36.0,14th,1985,final
8,—,Belgium,Linda Lepomme,Laat Me Nu Gaan,7.0,19th,1985,final
9,—,Portugal,Adelaïde,"Penso Em Ti, Eu Sei",9.0,18th,1985,final
10,—,Germany,Wind,Für Alle,105.0,2nd,1985,final
11,—,Israel,Izhar Cohen,Olé Olé,93.0,5th,1985,final
12,—,Italy,Al Bano and Romina Power,"Magic, Oh Magic",78.0,7th,1985,final
13,—,Norway,Bobbysocks,La Det Swinge,123.0,1st,1985,final
14,—,United Kingdom,Vikki,Love Is...,100.0,4th,1985,final
15,—,Switzerland,Mariella Farré and Pino Gasparini,Piano Piano,39.0,12th,1985,final
16,—,Sweden,Kikki Danielsson,Bra Vibrationer,103.0,3rd,1985,final
17,—,Austria,Gary Lux,Kinder Dieser Welt,60.0,8th,1985,final
18,—,Luxembourg,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts and Chris Roberts","Children, Kinder, Enfants",37.0,13th,1985,final
19,—,Greece,Takis Biniaris,Miazoume,15.0,16th,1985,final
1,—,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,117.0,3rd,1986,final
2,—,Yugoslavia,Doris Dragovic,Zeljo Moja,49.0,11th,1986,final
3,—,France,Cocktail Chic,Européennes,13.0,17th,1986,final
4,—,Norway,Ketil Stokkan,Romeo,44.0,12th,1986,final
5,—,United Kingdom,Ryder,Runner In The Night,72.0,7th,1986,final
6,—,Iceland,Icy,Gleðibankinn,19.0,16th,1986,final
7,—,Netherlands,Frizzle Sizzle,Alles Heeft Ritme,40.0,13th,1986,final
8,—,Türkiye,Klips ve Onlar,Halley,53.0,9th,1986,final
9,—,Spain,Cadillac,Valentino,51.0,10th,1986,final
10,—,Switzerland,Daniela Simons,Pas Pour Moi,140.0,2nd,1986,final
11,—,Israel,Moti Galadi and Sarai Tzuriel,Yavoh Yom,7.0,19th,1986,final
12,—,Ireland,Luv Bug,You Can Count On Me,96.0,4th,1986,final
13,—,Belgium,Sandra Kim,J'aime La Vie,176.0,1st,1986,final
14,—,Germany,Ingrid Peters,Über Die Brücke Geh'n,62.0,8th,1986,final
15,—,Cyprus,Elpida,Tora Zo,4.0,20th,1986,final
16,—,Austria,Timna Brauer,Die Zeit Ist Einsam,12.0,18th,1986,final
17,—,Sweden,Lasse Holm and Monica Törnell,E' De' Det Här Du Kallar Kärlek,78.0,5th,1986,final
18,—,Denmark,Lise Haavik and Trax,Du Er Fuld Af Løgn,77.0,6th,1986,final
19,—,Finland,Kari Kuivalainen,Päivä Kahden Ihmisen,22.0,15th,1986,final
20,—,Portugal,Dora,Não Sejas Mau Para Mim,28.0,14th,1986,final
1,—,Norway,Kate Gulbrandsen,Mitt Liv,65.0,9th,1987,final
2,—,Israel,Datner and Kushnir,Shir Habatlanim,73.0,8th,1987,final
3,—,Austria,Gary Lux,Nur Noch Gefühl,8.0,20th,1987,final
4,—,Iceland,Halla Margarét,Hægt Og Hljótt,28.0,16th,1987,final
5,—,Belgium,Liliane Saint-Pierre,Soldiers Of Love,56.0,11th,1987,final
6,—,Sweden,Lotta Engberg,Boogaloo,50.0,12th,1987,final
7,—,Italy,Umberto Tozzi and Raf,Gente Di Mare,103.0,3rd,1987,final
8,—,Portugal,Nevada,Neste Barco à Vela,15.0,18th,1987,final
9,—,Spain,Patricia Kraus,No Estás Solo,10.0,19th,1987,final
10,—,Türkiye,Seyyal Tanner and Lokomotif,Sarkim Sevgi üstüne,,22nd,1987,final
11,—,Greece,Bang,Stop!,64.0,10th,1987,final
12,—,Netherlands,Marcha,Rechtop In De Wind,83.0,5th,1987,final
13,—,Luxembourg,Plastic Bertrand,Amour Amour,4.0,21st,1987,final
14,—,United Kingdom,Rikki,Only The Light,47.0,13th,1987,final
15,—,France,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche,44.0,14th,1987,final
16,—,Germany,Wind,Laß Die Sonne In Dein Herz,141.0,2nd,1987,final
17,—,Cyprus,Alexia,Aspro Mavro,80.0,7th,1987,final
18,—,Finland,Vicky Rosti,Sata Salamaa,32.0,15th,1987,final
19,—,Denmark,Anne-Catherine Herdorf and Bandjo,En Lille Melodi,83.0,5th,1987,final
20,—,Ireland,Johnny Logan,Hold Me Now,172.0,1st,1987,final
21,—,Yugoslavia,Novi Fosili,Ja Sam Za Ples,92.0,4th,1987,final
22,—,Switzerland,Carole Rich,Moitié Moitié,26.0,17th,1987,final
1,—,Iceland,Beathoven,Sókrates,20.0,16th,1988,final
2,—,Sweden,Tommy Körberg,Stad I Ljus,52.0,12th,1988,final
3,—,Finland,Boulevard,Nauravat Silmät Muistetaan,3.0,20th,1988,final
4,—,United Kingdom,Scott Fitzgerald,Go,136.0,2nd,1988,final
5,—,Türkiye,MFÖ,Sufi (hey Ya Hey),37.0,15th,1988,final
6,—,Spain,La Década,La Chica Que Yo Quiero (made In Spain),58.0,11th,1988,final
7,—,Netherlands,Gerard Joling,Shangri-la,70.0,9th,1988,final
8,—,Israel,Yardena Arazi,Ben Adam,85.0,7th,1988,final
9,—,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,137.0,1st,1988,final
10,—,Ireland,Jump the Gun,Take Him Home,79.0,8th,1988,final
11,—,Germany,Maxi and Chris Garden,Lied Für Einen Freund,48.0,14th,1988,final
12,—,Austria,Wilfried,Lisa Mona Lisa,,21st,1988,final
13,—,Denmark,Hot Eyes,Ka' Du Se Hva' Jeg Sa',92.0,3rd,1988,final
14,—,Greece,Aphroditi Fryda,Kloun,10.0,17th,1988,final
15,—,Norway,Karoline Krüger,For Vår Jord,88.0,5th,1988,final
16,—,Belgium,Reynaert,Laissez Briller Le Soleil,5.0,18th,1988,final
17,—,Luxembourg,Lara Fabian,Croire,90.0,4th,1988,final
18,—,Italy,Luca Barbarossa,Ti Scrivo,52.0,12th,1988,final
19,—,France,Gérard Lenorman,Chanteur De Charme,64.0,10th,1988,final
20,—,Portugal,Dora,Voltarei,5.0,18th,1988,final
21,—,Yugoslavia,Srebrna Krila,Mangup,87.0,6th,1988,final
1,—,Italy,Anna Oxa and Fausto Leali,Avrei Voluto,56.0,9th,1989,final
2,—,Israel,Gili ve Galit,Derech Ha'melech,50.0,12th,1989,final
3,—,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,21.0,18th,1989,final
4,—,Netherlands,Justine Pelmelay,Blijf Zoals Je Bent,45.0,15th,1989,final
5,—,Türkiye,Pan,Bana Bana,5.0,21st,1989,final
6,—,Belgium,Ingeborg,Door De Wind,13.0,19th,1989,final
7,—,United Kingdom,Live Report,Why Do I Always Get It Wrong,130.0,2nd,1989,final
8,—,Norway,Britt Synnøve Johansen,Venners Nærhet,30.0,17th,1989,final
9,—,Portugal,Da Vinci,Conquistador,39.0,16th,1989,final
10,—,Sweden,Tommy Nilsson,En Dag,110.0,4th,1989,final
11,—,Luxembourg,Park Café,Monsieur,8.0,20th,1989,final
12,—,Denmark,Birthe Kjær,Vi Maler Byen Rød,111.0,3rd,1989,final
13,—,Austria,Thomas Forstner,Nur Ein Lied,97.0,5th,1989,final
14,—,Finland,Anneli Saaristo,La Dolce Vita,76.0,7th,1989,final
15,—,France,Nathalie Pâque,J'ai Volé La Vie,60.0,8th,1989,final
16,—,Spain,Nina,Nacida Para Amar,88.0,6th,1989,final
17,—,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume,51.0,11th,1989,final
18,—,Switzerland,Furbaz,Viver Senza Tei,47.0,13th,1989,final
19,—,Greece,Marianna,To Diko Sou Asteri,56.0,9th,1989,final
20,—,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér,,22nd,1989,final
21,—,Germany,Nino de Angelo,Flieger,46.0,14th,1989,final
22,—,Yugoslavia,Riva,Rock Me,137.0,1st,1989,final
1,—,Spain,Azúcar Moreno,Bandido,96.0,5th,1990,final
2,—,Greece,Christos Callow and Wave,Horis Skopo,11.0,19th,1990,final
3,—,Belgium,Philippe Lafontaine,Macédomienne,46.0,12th,1990,final
4,—,Türkiye,Kayahan,Gözlerinin Hapsindeyim,21.0,17th,1990,final
5,—,Netherlands,Maywood,Ik Wil Alles Met Je Delen,25.0,15th,1990,final
6,—,Luxembourg,Céline Carzo,Quand Je Te Rêve,38.0,13th,1990,final
7,—,United Kingdom,Emma,Give A Little Love Back To The World,87.0,6th,1990,final
8,—,Iceland,Stjórnin,Eitt Lag Enn,124.0,4th,1990,final
9,—,Norway,Ketil Stokkan,Brandenburger Tor,8.0,21st,1990,final
10,—,Israel,Rita,Shara Barechovot,16.0,18th,1990,final
11,—,Denmark,Lonnie Devantier,Hallo Hallo,64.0,8th,1990,final
12,—,Switzerland,Egon Egemann,Musik Klingt In Die Welt Hinaus,51.0,11th,1990,final
13,—,Germany,Chris Kempers and Daniel Kovac,Frei Zu Leben,60.0,9th,1990,final
14,—,France,Joelle Ursull,White And Black Blues,132.0,2nd,1990,final
15,—,Yugoslavia,Tajci,Hajde Da Ludujemo,81.0,7th,1990,final
16,—,Portugal,Nucha,Há Sempre Alguém,9.0,20th,1990,final
17,—,Ireland,Liam Reilly,Somewhere In Europe,132.0,2nd,1990,final
18,—,Sweden,Edin-Ådahl,Som En Vind,24.0,16th,1990,final
19,—,Italy,Toto Cutugno,Insieme: 1992,149.0,1st,1990,final
20,—,Austria,Simone,Keine Mauern Mehr,58.0,10th,1990,final
21,—,Cyprus,Haris Anastasiou,Milas Poli,36.0,14th,1990,final
22,—,Finland,Beat,Fri?,8.0,21st,1990,final
1,—,Yugoslavia,Baby Doll,Brazil,1.0,21st,1991,final
2,—,Iceland,Stefán and Eyfi,Nina,26.0,15th,1991,final
3,—,Malta,Paul Giordimaina and Georgina,Could It Be,106.0,6th,1991,final
4,—,Greece,Sofia Vossou,I Anixi,36.0,13th,1991,final
5,—,Switzerland,Sandra Simò,Canzone Per Te,118.0,5th,1991,final
6,—,Austria,Thomas Forstner,Venedig Im Regen,,22nd,1991,final
7,—,Luxembourg,Sarah Bray,Un Baiser Volé,29.0,14th,1991,final
8,—,Sweden,Carola,Fångad Av En Stormvind,146.0,1st,1991,final
9,—,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,146.0,2nd,1991,final
10,—,Türkiye,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Iki Dakika,44.0,12th,1991,final
11,—,Ireland,Kim Jackson,Could It Be That I'm In Love,47.0,10th,1991,final
12,—,Portugal,Dulce,Lusitana Paixão,62.0,8th,1991,final
13,—,Denmark,Anders Frandsen,Lige Der Hvor Hjertet Slår,8.0,19th,1991,final
14,—,Norway,Just 4 Fun,Mrs. Thompson,14.0,17th,1991,final
15,—,Israel,Duo Datz,Kan,139.0,3rd,1991,final
16,—,Finland,Kaija,Hullu Yö,6.0,20th,1991,final
17,—,Germany,Atlantis 2000,Dieser Traum Darf Niemals Sterben,10.0,18th,1991,final
18,—,Belgium,Clouseau,Geef Het Op,23.0,16th,1991,final
19,—,Spain,Sergio Dalma,Bailar Pegados,119.0,4th,1991,final
20,—,United Kingdom,Samantha Janus,A Message To Your Heart,47.0,10th,1991,final
21,—,Cyprus,Elena Patroclou,S.o.s.,60.0,9th,1991,final
22,—,Italy,Peppino di Capri,Comme E' Ddoce 'o Mare,89.0,7th,1991,final
1,—,Spain,Serafin,Todo Esto Es La Música,37.0,14th,1992,final
2,—,Belgium,Morgane,Nous On Veut Des Violons,11.0,20th,1992,final
3,—,Israel,Dafna,Ze Rak Sport,85.0,6th,1992,final
4,—,Türkiye,Aylin Vatankos,Yaz Bitti,17.0,19th,1992,final
5,—,Greece,Cleopatra,Olou Tou Kosmou I Elpida,94.0,5th,1992,final
6,—,France,Kali,Monté La Riviè,73.0,8th,1992,final
7,—,Sweden,Christer Björkman,I Morgon är En Annan Dag,9.0,22nd,1992,final
8,—,Portugal,Diná,Amor D'água Fresca,26.0,17th,1992,final
9,—,Cyprus,Evridiki,Teriazoume,57.0,11th,1992,final
10,—,Malta,Mary Spiteri,Little Child,123.0,3rd,1992,final
11,—,Iceland,Heart 2 Heart,Nei Eða Já,80.0,7th,1992,final
12,—,Finland,Pave,Yamma Yamma,4.0,23rd,1992,final
13,—,Switzerland,Daisy Auvray,Mister Music Man,32.0,15th,1992,final
14,—,Luxembourg,Marion Welter and Kontinent,Sou Fräi,10.0,21st,1992,final
15,—,Austria,Tony Wegas,Zusammen Geh'n,63.0,10th,1992,final
16,—,United Kingdom,Michael Ball,One Step Out Of Time,139.0,2nd,1992,final
17,—,Ireland,Linda Martin,Why Me,155.0,1st,1992,final
18,—,Denmark,Lotte Nilsson and Kenny Lübcke,Ålt Det Som Ingen Ser,47.0,12th,1992,final
19,—,Italy,Mia Martini,Rapsodia,111.0,4th,1992,final
20,—,Yugoslavia,Extra Nena,Ljubim Te Pesmama,44.0,13th,1992,final
21,—,Norway,Merethe Trøan,Visjoner,23.0,18th,1992,final
22,—,Germany,Wind,Träume Sind Für Alle Da,27.0,16th,1992,final
23,—,Netherlands,Humphrey Campbell,Wijs Me De Weg,67.0,9th,1992,final
1,—,Italy,Enrico Ruggeri,Sole D'europa,45.0,12th,1993,final
2,—,Türkiye,"Burak Aydos, Öztürk Baybora & Serter",Esmer Yarim,10.0,21st,1993,final
3,—,Germany,Münchener Freiheit,Viel Zu Weit,18.0,18th,1993,final
4,—,Switzerland,Annie Cotton,"Moi, Tout Simplement",148.0,3rd,1993,final
5,—,Denmark,Tommy Seebach Band,Under Stjernerne På Himlen,9.0,22nd,1993,final
6,—,Greece,Kaiti Garbi,"Ellada, Hora Tou Fotos",64.0,9th,1993,final
7,—,Belgium,Barbara,Iemand Als Jij,3.0,25th,1993,final
8,—,Malta,William Mangion,This Time,69.0,8th,1993,final
9,—,Iceland,Inga,þá Veistu Svarið,42.0,13th,1993,final
10,—,Austria,Tony Wegas,Maria Magdalena,32.0,14th,1993,final
11,—,Portugal,Anabela,A Cidade Até Ser Dia,60.0,10th,1993,final
12,—,France,Patrick Fiori,Mama Corsica,121.0,4th,1993,final
13,—,Sweden,Arvingarna,Eloïse,89.0,7th,1993,final
14,—,Ireland,Niamh Kavanagh,In Your Eyes,187.0,1st,1993,final
15,—,Luxembourg,Modern Times,Donne-moi Une Chance,11.0,20th,1993,final
16,—,Slovenia,1X Band,Tih Dezeven Dan,9.0,22nd,1993,final
17,—,Finland,Katri-Helena,Tule Luo,20.0,17th,1993,final
18,—,Bosnia & Herzegovina,Fazla,Sva Bol Svijeta,27.0,16th,1993,final
19,—,United Kingdom,Sonia,Better The Devil You Know,164.0,2nd,1993,final
20,—,Netherlands,Ruth Jacott,Vrede,92.0,6th,1993,final
21,—,Croatia,Put,Don't Ever Cry,31.0,15th,1993,final
22,—,Spain,Eva Santamaria,Hombres,58.0,11th,1993,final
23,—,Cyprus,Kyriakos Zymboulakis and Demos Van Beke,Mi Stamatas,17.0,19th,1993,final
24,—,Israel,Lakahat Shiru,Shiru,4.0,24th,1993,final
25,—,Norway,Silje Vige,Alle Mine Tankar,120.0,5th,1993,final
1,—,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,48.0,13th,1994,final
2,—,Finland,CatCat,Bye Bye Baby,11.0,22nd,1994,final
3,—,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,226.0,1st,1994,final
4,—,Cyprus,Evridiki,Ime Anthropos Ke Ego,51.0,11th,1994,final
5,—,Iceland,Sigga,Nætur,49.0,12th,1994,final
6,—,United Kingdom,Frances Ruffelle,We Will Be Free (lonely Symphony),63.0,10th,1994,final
7,—,Croatia,Tony Cetinski,Nek'ti Bude Ljubav Sva,27.0,16th,1994,final
8,—,Portugal,Sara Tavares,Chamar A Música,73.0,8th,1994,final
9,—,Switzerland,Duilio,Sto Pregando,15.0,19th,1994,final
10,—,Estonia,Silvi Vrait,Nagu Merelaine,2.0,24th,1994,final
11,—,Romania,Dan Bittman,Dincolo De Nori,14.0,21st,1994,final
12,—,Malta,Moira Stafrace and Christopher Scicluna,More Than Love,97.0,5th,1994,final
13,—,Netherlands,Willeke Alberti,Waar Is De Zon,4.0,23rd,1994,final
14,—,Germany,MeKaDo,Wir Geben 'ne Party,128.0,3rd,1994,final
15,—,Slovakia,Martin Durinda and Tublatanka,Nekovecná Piesen,15.0,19th,1994,final
16,—,Lithuania,Ovidijus Vyšniauskas,Lopšinė Mylimai,,25th,1994,final
